===============================================================
Gobuster v3.6
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://play.picoctf.org/practice?FUZZ=1
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /home/piyal/SecLists/Discovery/Web-Content/BurpSuite-ParamMiner/lowercase-headers
[+] Excluded Status codes:   400,301
[+] User Agent:              gobuster/3.6
[+] Timeout:                 10s
===============================================================
Starting gobuster in fuzzing mode
===============================================================
[2KFound: [Status=403] [Length=15672] [Word=Accept] https://play.picoctf.org/practice?Accept=1
[2KFound: [Status=403] [Length=15683] [Word=Accepted] https://play.picoctf.org/practice?Accepted=1
[2KFound: [Status=403] [Length=15754] [Word=Accept-Language] https://play.picoctf.org/practice?Accept-Language=1
[2KFound: [Status=403] [Length=15872] [Word=Access-Control-Allow-Credentials] https://play.picoctf.org/practice?Access-Control-Allow-Credentials=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Application] https://play.picoctf.org/practice?Accept-Application=1
[2KFound: [Status=403] [Length=15813] [Word=Access-Control-Allow-Headers] https://play.picoctf.org/practice?Access-Control-Allow-Headers=1
[2KFound: [Status=200] [Length=2466] [Word=Access-Control-Allow-Methods] https://play.picoctf.org/practice?Access-Control-Allow-Methods=1
[2KFound: [Status=200] [Length=2466] [Word=Access-Control-Request-Headers] https://play.picoctf.org/practice?Access-Control-Request-Headers=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Encoding] https://play.picoctf.org/practice?Accept-Encoding=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Ranges] https://play.picoctf.org/practice?Accept-Ranges=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Encodxng] https://play.picoctf.org/practice?Accept-Encodxng=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Charset] https://play.picoctf.org/practice?Accept-Charset=1
[2KFound: [Status=200] [Length=2466] [Word=Accept-Version] https://play.picoctf.org/practice?Accept-Version=1
[2KFound: [Status=200] [Length=2466] [Word=Accesskey] https://play.picoctf.org/practice?Accesskey=1
[2KFound: [Status=200] [Length=2466] [Word=Access-Control-Allow-Origin] https://play.picoctf.org/practice?Access-Control-Allow-Origin=1
[2KFound: [Status=200] [Length=2466] [Word=Action] https://play.picoctf.org/practice?Action=1
[2KFound: [Status=200] [Length=2466] [Word=Admin] https://play.picoctf.org/practice?Admin=1
[2KFound: [Status=200] [Length=2466] [Word=Access-Control-Expose-Headers] https://play.picoctf.org/practice?Access-Control-Expose-Headers=1
[2KFound: [Status=200] [Length=2466] [Word=Age] https://play.picoctf.org/practice?Age=1
[2KFound: [Status=200] [Length=2466] [Word=Access-Control-Max-Age] https://play.picoctf.org/practice?Access-Control-Max-Age=1
[2KFound: [Status=200] [Length=2466] [Word=Ajax] https://play.picoctf.org/practice?Ajax=1
[2KFound: [Status=200] [Length=2466] [Word=Allow] https://play.picoctf.org/practice?Allow=1
[2KFound: [Status=200] [Length=2466] [Word=Akamai-Origin-Hop] https://play.picoctf.org/practice?Akamai-Origin-Hop=1
[2KFound: [Status=200] [Length=2466] [Word=App] https://play.picoctf.org/practice?App=1
